,Zip Code,Geographic Area Name,Total,Population over 65,Occupied housing units,Total,Median income (dollars),Mean income (dollars),Male population,Female population,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,HISPANIC OR LATINO
246,91402,91402,69817,7171,19839,19839,45796,61057,35712,36347,24748,2652,374,10471,48,72059
247,91403,91403,23484,3772,11400,11400,104802,152702,12459,12697,19715,1745,79,1967,15,25156
248,91405,91405,51145,5599,18246,18246,47037,65549,26917,28589,23097,2738,117,4016,24,55506
249,91406,91406,51558,5712,18398,18398,59472,78692,27763,27127,23863,2476,220,4959,7,54890
250,91411,91411,24628,2829,9493,9493,58605,80619,12850,13261,17019,1460,7,1961,21,26111
251,91423,91423,30991,4608,15085,15085,90931,143054,15936,17236,26329,2155,34,2013,0,33172
252,91436,91436,14372,3391,5600,5600,174085,244065,7284,8008,13405,237,29,836,20,15292
253,91501,91501,20849,3616,8057,8057,67817,94589,9925,10586,16031,556,100,1639,0,20511
254,91502,91502,11371,1871,5071,5071,47148,61473,4901,5807,7117,320,38,1705,0,10708
255,91504,91504,24939,3777,9387,9387,83994,120326,13272,13477,18180,960,85,3700,8,26749
256,91505,91505,30778,4235,12902,12902,87138,112348,14965,15937,22140,1131,408,3658,4,30902
257,91506,91506,18904,2972,7522,7522,81597,107471,8570,10021,13695,265,175,2242,11,18591
258,91601,91601,37180,3676,16710,16710,53911,75916,19056,17785,26049,2747,80,2676,52,36841
259,91602,91602,17473,2305,9813,9813,84008,112285,9539,10133,14269,1021,81,1652,88,19672
260,91604,91604,29034,5011,14641,14641,111341,171012,16163,16747,26268,1551,100,2749,72,32910
261,91605,91605,56343,5720,16271,16271,50623,69678,26667,26446,32596,1888,432,4707,1,53113
262,91606,91606,44958,5546,15401,15401,50155,68314,22505,21790,30603,1902,111,2286,296,44295
263,91607,91607,27927,4867,13607,13607,71691,95171,14882,15729,23942,1865,62,1969,13,30611
264,91608,91608,0,0,10,10,-,N,11,10,21,0,0,0,0,21
266,91702,91702,59705,6114,15502,15502,68852,83541,30068,31998,32882,2014,959,7023,139,62066
267,91706,91706,76571,9395,18328,18328,65755,77187,38765,38165,32382,1166,1185,14747,362,76930
269,91709,91709,74796,9235,25289,25289,106347,123380,39281,41420,38524,3006,588,28396,85,80701
270,91710,91710,80358,11005,22758,22758,81892,98145,52507,39266,49846,4839,465,12993,685,91773
271,91711,91711,35705,7057,11997,11997,101270,131072,17509,19268,23497,1863,352,5318,18,36777
272,91722,91722,34409,4548,9841,9841,80089,89195,16854,17777,18757,791,122,4626,89,34631
273,91723,91723,18275,2348,6233,6233,64422,81418,8935,9586,10758,548,829,1559,0,18521
274,91724,91724,26184,3919,8094,8094,82976,103268,13260,13457,15035,1111,328,4404,21,26717
276,91731,91731,29591,4675,8263,8263,42293,56416,15160,15062,11478,118,345,8694,454,30222
277,91732,91732,61386,7831,16066,16066,51268,67194,31144,31761,25455,395,509,18275,185,62905
278,91733,91733,43896,5660,11026,11026,50691,63393,22818,22547,18714,214,348,9377,302,45365
281,91740,91740,25356,4144,8308,8308,85590,102709,12648,13229,17536,769,206,2668,54,25877
282,91741,91741,25824,4448,8896,8896,110430,141379,12934,13860,19670,228,83,3388,88,26794
283,91744,91744,85040,10142,18969,18969,71243,83006,42896,42525,33464,1202,610,10209,257,85421
284,91745,91745,54013,10430,16324,16324,85975,108564,27878,27324,20272,613,389,22244,68,55202
285,91746,91746,30485,3906,6670,6670,70825,81946,14513,15196,11630,323,205,3639,29,29709
286,91748,91748,45406,8258,13558,13558,74438,93315,23225,23854,9225,629,228,29466,152,47079
287,91750,91750,33249,6905,12110,12110,89360,114896,16518,17611,25253,1226,224,3145,10,34129
289,91754,91754,32742,7272,11290,11290,63909,87367,15842,17794,5087,223,119,20646,106,33636
290,91755,91755,27496,5629,8665,8665,58411,83612,13199,13604,3396,192,212,19030,179,26803
291,91759,91759,476,97,157,157,71042,81754,146,161,296,6,5,0,0,307
293,91762,91762,55857,6466,17636,17636,60293,75454,30071,31647,29724,3059,725,3745,127,61718
294,91763,91763,36375,4180,10233,10233,62386,73967,19048,19815,19059,1249,400,4121,100,38863
296,91765,91765,46457,7886,15119,15119,100480,121124,22633,23960,13130,1925,116,26928,62,46593
297,91766,91766,71599,7218,17987,17987,59819,77007,36585,35763,34902,2931,1540,9309,7,72348
298,91767,91767,48068,5868,14065,14065,62153,76865,24650,25956,25198,3873,1102,3855,80,50606
299,91768,91768,34537,3501,8045,8045,56002,71836,17085,18106,16434,1889,1057,2521,77,35191
300,91770,91770,62097,10731,16648,16648,59776,74820,30918,31785,9584,382,367,38187,5,62703
301,91773,91773,33119,6499,11387,11387,86201,104790,15802,18205,24243,656,214,4816,170,34007
302,91775,91775,23988,4439,8113,8113,86415,113622,12165,12839,7589,321,153,12813,7,25004
303,91776,91776,38475,6368,11713,11713,58658,76063,18803,19861,6039,199,53,24609,70,38664
304,91780,91780,34332,5653,11355,11355,75672,94944,16734,18399,8187,228,137,21895,182,35133
305,91784,91784,25938,5165,9023,9023,130421,155319,12438,13652,19010,725,163,3271,0,26090
306,91786,91786,51165,6816,19107,19107,61898,74702,25733,27964,32510,3788,405,4041,96,53697
